Author;Publication count;PageRank;Authority score
Salil P. Vadhan;1;0;0
Cinda Heeren;1;0;0
Vasilis Samoladas;2;0;0
Avrim Blum;1;0;0
Cui Yu;1;0;0
Flavio Chierichetti;2;0;0
Jelani Nelson;2;0;0
Jerzy Marcinkowski;2;0;0
Peter J. Haas;4;0;0
Michael A. Langston;1;0;0
Paolo Liberatore;1;0;0
Nick G. Duffield;2;0;0
Richard E. Ladner;1;0;0
Martha Escobar-Molano;1;0;0
Mohammed Javeed Zaki;1;0;0
Jeff M. Phillips;2;0;0
Sudeepa Roy;1;0;0
Alexander Borgida;1;0;0
Marco Patella;1;0;0
Cynthia Dwork;2;0;0
Antonella Pelaggi;1;0;0
Alon Y. Halevy;2;0;0
Mert Saglam;1;0;0
Émilien Antoine;1;0;0
Neil Immerman;2;0;0
Sándor P. Fekete;1;0;0
Hakan Ferhatosmanoglu;1;0;0
Daniel Kifer;3;0;0
Mantas Simkus;1;0;0
David D. Wright;1;0;0
Idit Keidar;1;0;0
Yael Amsterdamer;2;0;0
Dina Q. Goldin;1;0;0
K. V. S. Ramarao;2;0;0
Nancy D. Griffeth;1;0;0
Shivnath Babu;2;0;0
B. Srivathsan;1;0;0
Evgeny Sherkhonov;1;0;0
Miao Qiao;3;0;0
Latanya Sweeney;1;0;0
Frank McSherry;2;0;0
Patrick Cégielski;1;0;0
Matti Nykänen;1;0;0
Gareth Smith;1;0;0
Arie Shoshani;1;0;0
Eric Gribkoff;1;0;0
Charles Paperman;1;0;0
C. Aiswarya;1;0;0
Jeffrey F. Naughton;10;0;0
Henry F. Korth;6;0;0
Hector Garcia-Molina;3;0;0
Michael J. Maher;2;0;0
Ping Lu;2;0;0
Esko Ukkonen;1;0;0
D. Sivakumar;4;0;0
Yannis E. Ioannidis;2;0;0
David J. DeWitt;1;0;0
Luciana S. Buriol;1;0;0
Antonella Poggi;2;0;0
Lauri Malmi;1;0;0
Jorge Pérez 0001;5;0;0
Udo Kelter;1;0;0
V. S. Lakshmanan;1;0;0
Yehoshua Sagiv;31;0;0
Mike Paterson;1;0;0
Wojciech Czerwinski;2;0;0
Zhiqiang Yang;1;0;0
Yufei Tao;13;0;0
Amnon Lotem;1;0;0
Sunil Prabhakar;1;0;0
J. Nathan Foster;1;0;0
Rakesh Agrawal;3;0;0
Jack A. Orenstein;1;0;0
Rohan Puttagunta;1;0;0
Peter Muth;2;0;0
Russell Greiner;1;0;0
Gabriele Puppis;1;0;0
Marco Manna;1;0;0
Irène Guessarian;1;0;0
Martin Grohe;4;0;0
V. S. Subrahmanian;1;0;0
Sara Cohen;7;0;0
James F. Lynch;1;0;0
Ekow J. Otoo;1;0;0
Christoph Koch 0001;10;0;0
Ken Q. Pu;1;0;0
Jianwen Su;11;0;0
Huy Vu;1;0;0
Sanjeev Khanna;4;0;0
Antonio Badia;1;0;0
Claire David;2;0;0
C. R. Ramakrishnan;1;0;0
Halina Przymusinska;1;0;0
Flip Korn;3;0;0
Lin F. Yang;1;0;0
Vassos Hadzilacos;5;0;0
Frank Thomson Leighton;1;0;0
Amol Deshpande;2;0;0
András Z. Salamon;1;0;0
David Tench;1;0;0
Raghu Ramakrishnan;15;0;0
Giorgio Ausiello;1;0;0
Maurizio Rafanelli;2;0;0
Rodney W. Topor;1;0;0
Leonard Pitt;1;0;0
V. Benjamin Livshits;1;0;0
Edward Sciore;2;0;0
Mukesh K. Mohania;1;0;0
Sharma V. Thankachan;1;0;0
Francis C. Chu;2;0;0
David Zage;1;0;0
Sepideh Mahabadi;2;0;0
Bradley S. Fordham;1;0;0
Jim Calhoun;1;0;0
Seth Gilbert;1;0;0
Richard Hull;13;0;0
Francesco M. Donini;1;0;0
Michael Gelfond;1;0;0
Marcus Herzog;1;0;0
Shaibal Roy;1;0;0
Pierre Senellart;4;0;0
Surajit Chaudhuri;9;0;0
Bernhard Seeger;2;0;0
Stefan Haar;1;0;0
Slawomir Pilarski;1;0;0
Edward L. Robertson;2;0;0
Andrés Letelier;1;0;0
Martin Odersky;1;0;0
Yannis Papakonstantinou;2;0;0
Reinhard Pichler;8;0;0
Jean-Marc Talbot;1;0;0
Wuzhou Zhang;2;0;0
Yossi Matias;1;0;0
Stéphane Bressan;1;0;0
Rajeev Motwani;5;0;0
Parosh Aziz Abdulla;1;0;0
Supratim Deb;1;0;0
Marie-Christine Rousset;1;0;0
Steven Dawson;1;0;0
Thane E. Plambeck;1;0;0
Monica S. Lam;1;0;0
Sumit K. Sanghai;1;0;0
Stephen Blott;1;0;0
